train episode:207, reward = 0.9414634146341463, state count = 8, state = [15, 51, 76, 96, 100, 118, 132, 141]
train episode:208, reward = 0.9520325203252032, state count = 8, state = [37, 51, 61, 76, 100, 118, 121, 151]
evaluate episode:20.9, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 96, 100, 107, 118, 132]
train episode:209, reward = 0.9959349593495935, state count = 8, state = [51, 53, 54, 76, 100, 103, 118, 143]
train episode:210, reward = 0.9382113821138212, state count = 8, state = [39, 51, 58, 76, 81, 96, 100, 118]
train episode:211, reward = 0.9747967479674797, state count = 8, state = [48, 51, 56, 76, 96, 100, 118, 132]
train episode:212, reward = 0.932520325203252, state count = 8, state = [38, 51, 60, 72, 76, 100, 107, 118]
train episode:213, reward = 0.9455284552845529, state count = 8, state = [27, 37, 51, 76, 96, 100, 118, 132]
train episode:214, reward = 0.9414634146341463, state count = 8, state = [21, 51, 76, 96, 100, 115, 118, 132]
train episode:215, reward = 0.9902439024390244, state count = 8, state = [31, 33, 44, 48, 51, 76, 100, 118]
train episode:216, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 96, 100, 107, 118, 132]
train episode:217, reward = 0.865040650406504, state count = 8, state = [45, 51, 72, 76, 89, 96, 100, 118]
train episode:218, reward = 0.9406504065040651, state count = 8, state = [15, 30, 42, 51, 76, 90, 100, 118]
evaluate episode:21.9, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 96, 100, 107, 118, 132]
train episode:219, reward = 0.9341463414634147, state count = 8, state = [51, 76, 91, 96, 100, 118, 132, 150]
train episode:220, reward = 0.9414634146341463, state count = 5, state = [51, 76, 96, 100, 118]
train episode:221, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 78, 96, 100, 118, 132]
train episode:222, reward = 0.9414634146341463, state count = 8, state = [13, 27, 51, 76, 96, 100, 118, 132]
train episode:223, reward = 0.9121951219512195, state count = 8, state = [6, 51, 76, 100, 106, 110, 118, 159]
train episode:224, reward = 0.9414634146341463, state count = 8, state = [1, 51, 76, 96, 100, 118, 129, 132]
train episode:225, reward = 0.9512195121951219, state count = 8, state = [51, 61, 76, 95, 96, 100, 118, 132]
train episode:226, reward = 0.9414634146341463, state count = 8, state = [10, 35, 51, 76, 96, 100, 118, 132]
train episode:227, reward = 0.9504065040650407, state count = 8, state = [27, 51, 76, 91, 96, 100, 118, 132]
train episode:228, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 96, 100, 118, 128, 132]
evaluate episode:22.9, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:229, reward = 0.9398373983739837, state count = 8, state = [51, 76, 96, 100, 118, 126, 132, 160]
train episode:230, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 108, 118, 132, 138]
train episode:231, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 104, 118, 132, 153]
train episode:232, reward = 0.9455284552845529, state count = 8, state = [27, 37, 51, 76, 96, 100, 118, 132]
train episode:233, reward = 0.9650406504065041, state count = 8, state = [51, 55, 69, 76, 96, 100, 118, 124]
train episode:234, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 98, 100, 116, 118, 132]
train episode:235, reward = 0.9414634146341463, state count = 8, state = [11, 51, 76, 96, 100, 116, 118, 132]
train episode:236, reward = 0.8975609756097561, state count = 8, state = [51, 76, 100, 114, 118, 120, 150, 156]
train episode:237, reward = 0.9333333333333333, state count = 8, state = [44, 51, 76, 83, 96, 100, 118, 132]
train episode:238, reward = 0.983739837398374, state count = 8, state = [27, 51, 68, 72, 76, 96, 100, 118]
evaluate episode:23.9, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:239, reward = 0.9504065040650407, state count = 8, state = [27, 51, 76, 91, 96, 100, 118, 132]
train episode:240, reward = 0.9455284552845529, state count = 8, state = [41, 51, 72, 76, 96, 100, 105, 118]
train episode:241, reward = 0.9422764227642276, state count = 8, state = [20, 27, 51, 76, 96, 100, 118, 132]
train episode:242, reward = 0.9471544715447154, state count = 8, state = [51, 63, 76, 83, 84, 96, 100, 118]
train episode:243, reward = 0.7577235772357723, state count = 8, state = [19, 51, 76, 83, 96, 100, 118, 132]
