evaluate episode:21.9, reward = 0.9577235772357724, state count = 5, state = [15, 16, 28, 43, 90]
train episode:219, reward = 0.9577235772357724, state count = 5, state = [15, 16, 28, 43, 90]
train episode:220, reward = 0.9349593495934959, state count = 5, state = [15, 31, 43, 89, 158]
train episode:221, reward = 0.9821138211382113, state count = 5, state = [15, 43, 46, 62, 66]
train episode:222, reward = 0.8796747967479674, state count = 5, state = [15, 28, 43, 90, 146]
train episode:223, reward = 0.9317073170731708, state count = 5, state = [15, 28, 43, 58, 90]
train episode:224, reward = 0.9577235772357724, state count = 5, state = [15, 16, 28, 43, 90]
train episode:225, reward = 0.8739837398373984, state count = 5, state = [15, 28, 43, 87, 90]
train episode:226, reward = 0.9707317073170731, state count = 5, state = [12, 14, 15, 43, 67]
train episode:227, reward = 0.8861788617886179, state count = 5, state = [15, 28, 43, 90, 148]
train episode:228, reward = 0.8788617886178862, state count = 5, state = [15, 28, 43, 90, 147]
evaluate episode:22.9, reward = 0.8796747967479674, state count = 5, state = [15, 28, 43, 90, 146]
train episode:229, reward = 0.8585365853658536, state count = 5, state = [15, 43, 58, 101, 135]
train episode:230, reward = 0.9495934959349593, state count = 5, state = [15, 43, 66, 90, 143]
train episode:231, reward = 0.9138211382113821, state count = 5, state = [15, 43, 45, 87, 122]
train episode:232, reward = 0.9666666666666667, state count = 5, state = [15, 43, 61, 90, 108]
train episode:233, reward = 0.8788617886178862, state count = 5, state = [15, 28, 43, 90, 100]
train episode:234, reward = 0.9869918699186991, state count = 5, state = [14, 15, 33, 43, 102]
train episode:235, reward = 0.9796747967479674, state count = 5, state = [15, 28, 43, 68, 90]
train episode:236, reward = 0.8788617886178862, state count = 5, state = [15, 28, 43, 71, 90]
train episode:237, reward = 0.9626016260162602, state count = 5, state = [15, 43, 65, 90, 110]
train episode:238, reward = 0.9219512195121952, state count = 5, state = [15, 28, 43, 44, 90]
evaluate episode:23.9, reward = 0.8813008130081301, state count = 5, state = [15, 28, 43, 50, 90]
train episode:239, reward = 0.9252032520325203, state count = 5, state = [15, 19, 28, 43, 90]
train episode:240, reward = 0.883739837398374, state count = 5, state = [15, 43, 90, 110, 161]
train episode:241, reward = 0.9943089430894309, state count = 5, state = [15, 16, 25, 43, 90]
train episode:242, reward = 0.9983739837398374, state count = 5, state = [15, 17, 33, 43, 90]
train episode:243, reward = 0.7910569105691057, state count = 5, state = [15, 34, 43, 82, 90]
train episode:244, reward = 0.7886178861788617, state count = 5, state = [8, 15, 43, 90, 135]
train episode:245, reward = 0.8739837398373984, state count = 5, state = [15, 28, 43, 87, 90]
train episode:246, reward = 0.8739837398373984, state count = 5, state = [15, 28, 43, 87, 90]
train episode:247, reward = 0.8341463414634146, state count = 5, state = [15, 43, 90, 97, 139]
train episode:248, reward = 0.8959349593495934, state count = 5, state = [15, 28, 43, 81, 90]
evaluate episode:24.9, reward = 0.8813008130081301, state count = 5, state = [15, 28, 43, 50, 90]
train episode:249, reward = 0.8813008130081301, state count = 5, state = [15, 28, 43, 50, 90]
train episode:250, reward = 0.8780487804878049, state count = 5, state = [15, 28, 43, 90, 102]
train episode:251, reward = 0.7894308943089431, state count = 5, state = [8, 15, 43, 51, 90]
train episode:252, reward = 0.9065040650406504, state count = 5, state = [15, 28, 43, 90, 163]
train episode:253, reward = 0.8796747967479674, state count = 5, state = [15, 28, 43, 90, 146]
train episode:254, reward = 0.7886178861788617, state count = 5, state = [15, 43, 90, 107, 136]
train episode:255, reward = 0.843089430894309, state count = 5, state = [15, 43, 71, 90, 163]
train episode:256, reward = 0.6626016260162602, state count = 1, state = [43]
train episode:257, reward = 0.8788617886178862, state count = 5, state = [15, 28, 43, 90, 118]
train episode:258, reward = 0.8894308943089431, state count = 5, state = [15, 43, 90, 93, 112]
evaluate episode:25.9, reward = 0.8796747967479674, state count = 5, state = [15, 28, 43, 90, 146]
train episode:259, reward = 0.7121951219512195, state count = 5, state = [15, 43, 84, 117, 143]
train episode:260, reward = 0.9609756097560975, state count = 5, state = [15, 43, 48, 90, 139]
train episode:261, reward = 0.959349593495935, state count = 5, state = [15, 18, 28, 43, 90]
train episode:262, reward = 0.8178861788617886, state count = 5, state = [15, 43, 70, 90, 124]
train episode:263, reward = 0.8804878048780488, state count = 5, state = [15, 28, 43, 52, 90]
train episode:264, reward = 0.9219512195121952, state count = 5, state = [15, 28, 43, 90, 123]
train episode:265, reward = 0.8772357723577235, state count = 5, state = [15, 28, 43, 90, 159]
train episode:266, reward = 0.8804878048780488, state count = 5, state = [15, 28, 43, 90, 104]
train episode:267, reward = 0.9975609756097561, state count = 5, state = [15, 23, 28, 43, 90]
train episode:268, reward = 0.9512195121951219, state count = 5, state = [15, 43, 76, 90, 106]
evaluate episode:26.9, reward = 0.9975609756097561, state count = 5, state = [15, 23, 28, 43, 90]
train episode:269, reward = 0.943089430894309, state count = 5, state = [15, 18, 43, 85, 90]
train episode:270, reward = 0.9008130081300812, state count = 5, state = [15, 28, 43, 90, 97]
train episode:271, reward = 0.6626016260162602, state count = 1, state = [43]
train episode:272, reward = 0.9975609756097561, state count = 5, state = [15, 23, 28, 43, 90]
train episode:273, reward = 0.9983739837398374, state count = 5, state = [15, 31, 43, 62, 90]
train episode:274, reward = 0.9845528455284552, state count = 5, state = [15, 28, 43, 62, 90]
train episode:275, reward = 0.6682926829268293, state count = 5, state = [15, 43, 94, 104, 127]
train episode:276, reward = 0.9219512195121952, state count = 5, state = [15, 28, 43, 90, 123]
train episode:277, reward = 0.8739837398373984, state count = 5, state = [15, 21, 28, 43, 90]
train episode:278, reward = 0.932520325203252, state count = 5, state = [15, 28, 43, 90, 162]
evaluate episode:27.9, reward = 0.875609756097561, state count = 5, state = [15, 28, 43, 88, 90]
train episode:279, reward = 0.9747967479674797, state count = 5, state = [15, 43, 67, 82, 90]
train episode:280, reward = 0.8780487804878049, state count = 5, state = [11, 15, 28, 43, 90]
train episode:281, reward = 0.6780487804878049, state count = 5, state = [15, 43, 94, 153, 158]
train episode:282, reward = 0.8772357723577235, state count = 5, state = [15, 28, 43, 72, 90]
train episode:283, reward = 0.8731707317073171, state count = 5, state = [3, 15, 43, 45, 90]
train episode:284, reward = 0.9260162601626016, state count = 5, state = [15, 43, 75, 122, 154]
train episode:285, reward = 0.875609756097561, state count = 5, state = [15, 28, 43, 88, 90]
train episode:286, reward = 0.8422764227642277, state count = 5, state = [15, 43, 89, 90, 148]
train episode:287, reward = 0.7902439024390244, state count = 5, state = [5, 15, 43, 90, 159]
train episode:288, reward = 0.9715447154471545, state count = 5, state = [15, 31, 43, 55, 92]
evaluate episode:28.9, reward = 0.875609756097561, state count = 5, state = [15, 28, 43, 88, 90]
train episode:289, reward = 0.8788617886178862, state count = 5, state = [15, 28, 34, 43, 90]
train episode:290, reward = 0.9089430894308943, state count = 5, state = [15, 28, 43, 90, 126]
train episode:291, reward = 0.7707317073170732, state count = 5, state = [20, 43, 74, 138, 141]
train episode:292, reward = 0.9845528455284552, state count = 5, state = [15, 28, 43, 62, 90]
train episode:293, reward = 0.9520325203252032, state count = 5, state = [15, 28, 43, 48, 90]
train episode:294, reward = 0.875609756097561, state count = 5, state = [15, 28, 43, 88, 90]
train episode:295, reward = 0.991869918699187, state count = 5, state = [15, 32, 43, 54, 90]
