train episode:251, reward = 0.7783687943262412, state count = 5, state = [48, 83, 121, 131, 155]
train episode:252, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:253, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:254, reward = 0.5975177304964538, state count = 5, state = [48, 94, 131, 155, 170]
train episode:255, reward = 0.7819148936170213, state count = 5, state = [34, 48, 99, 131, 155]
train episode:256, reward = 0.7801418439716312, state count = 5, state = [34, 48, 123, 131, 155]
train episode:257, reward = 0.6294326241134752, state count = 5, state = [16, 48, 131, 155, 160]
train episode:258, reward = 0.375886524822695, state count = 5, state = [39, 48, 97, 142, 155]
evaluate episode:25.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 71, 131, 155]
train episode:259, reward = 0.8865248226950354, state count = 5, state = [34, 48, 131, 155, 168]
train episode:260, reward = 0.7819148936170213, state count = 5, state = [11, 34, 48, 131, 155]
train episode:261, reward = 0.6099290780141844, state count = 5, state = [48, 118, 131, 155, 181]
train episode:262, reward = 0.7092198581560284, state count = 5, state = [48, 131, 152, 155, 164]
train episode:263, reward = 0.7819148936170213, state count = 5, state = [34, 48, 71, 131, 155]
train episode:264, reward = 0.7145390070921985, state count = 5, state = [48, 61, 131, 155, 160]
train episode:265, reward = 0.43617021276595747, state count = 5, state = [48, 78, 82, 102, 155]
train episode:266, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 142, 155]
train episode:267, reward = 0.48226950354609927, state count = 5, state = [38, 44, 48, 103, 170]
train episode:268, reward = 0.7588652482269503, state count = 5, state = [48, 84, 103, 146, 155]
evaluate episode:26.9, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 142, 155]
train episode:269, reward = 0.6205673758865248, state count = 5, state = [48, 74, 131, 155, 173]
train episode:270, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 142, 155]
train episode:271, reward = 0.8900709219858156, state count = 5, state = [34, 48, 131, 155, 167]
train episode:272, reward = 0.875886524822695, state count = 5, state = [34, 48, 62, 131, 155]
train episode:273, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 142, 155]
train episode:274, reward = 0.7819148936170213, state count = 5, state = [34, 48, 100, 131, 155]
train episode:275, reward = 0.6205673758865248, state count = 5, state = [48, 101, 131, 148, 155]
train episode:276, reward = 0.7819148936170213, state count = 5, state = [12, 34, 48, 131, 155]
train episode:277, reward = 0.8900709219858156, state count = 5, state = [34, 48, 131, 155, 167]
train episode:278, reward = 0.7393617021276596, state count = 5, state = [48, 131, 155, 168, 178]
evaluate episode:27.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 154, 155]
train episode:279, reward = 0.7978723404255319, state count = 5, state = [48, 88, 119, 131, 155]
train episode:280, reward = 0.7287234042553191, state count = 5, state = [48, 142, 143, 155, 167]
train episode:281, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 155, 161]
train episode:282, reward = 0.599290780141844, state count = 5, state = [46, 48, 71, 131, 155]
train episode:283, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 154, 155]
train episode:284, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 154, 155]
train episode:285, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 155, 160]
train episode:286, reward = 0.7109929078014184, state count = 5, state = [48, 51, 96, 163, 172]
train episode:287, reward = 0.6205673758865248, state count = 5, state = [48, 85, 131, 155, 178]
train episode:288, reward = 0.599290780141844, state count = 2, state = [48, 175]
evaluate episode:28.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 155, 160]
train episode:289, reward = 0.7819148936170213, state count = 5, state = [13, 34, 48, 131, 155]
train episode:290, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 154, 155]
train episode:291, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 155, 160]
train episode:292, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 155, 160]
train episode:293, reward = 0.8297872340425532, state count = 5, state = [34, 48, 56, 131, 155]
train episode:294, reward = 0.7819148936170213, state count = 5, state = [2, 34, 48, 131, 155]
